Articolo	Data	Elapse (s)	Longitudine	Latitudine	Altitudine (m)	Corso	Velocità (km/h)	Distanza totale (km)
1	2019-04-22 11:29:42.245	0	'12°35''8.12" E'	'41°50''32.20" N'	51,7	298,5	0	0
2	2019-04-22 11:29:43.245	1	'12°35''5.51" E'	'41°50''31.94" N'	60,7	94,5	217,6	0,06
3	2019-04-22 11:29:45.245	3	'12°35''5.25" E'	'41°50''31.37" N'	84,4	94,5	34	0,079
4	2019-04-22 11:29:46.245	4	'12°35''5.50" E'	'41°50''31.59" N'	57,4	95,6	32,3	0,088
5	2019-04-22 11:29:47.245	5	'12°35''5.81" E'	'41°50''31.39" N'	57,4	95,6	34,3	0,098
6	2019-04-22 11:29:48.245	6	'12°35''6.12" E'	'41°50''31.16" N'	67,7	95,6	36,4	0,108
7	2019-04-22 11:29:49.245	7	'12°35''6.66" E'	'41°50''30.62" N'	57,4	96,6	73,9	0,128
8	2019-04-22 11:29:50.245	8	'12°35''6.78" E'	'41°50''30.61" N'	57,4	96,6	10,5	0,131
9	2019-04-22 11:29:51.245	9	'12°35''6.98" E'	'41°50''30.96" N'	70	97,6	42,1	0,143
10	2019-04-22 11:29:52.245	10	'12°35''7.14" E'	'41°50''30.74" N'	68,9	97,6	27,2	0,151
11	2019-04-22 11:29:53.245	11	'12°35''7.47" E'	'41°50''30.54" N'	69,8	98,6	35,8	0,161
12	2019-04-22 11:29:54.245	12	'12°35''7.74" E'	'41°50''30.33" N'	71	98,6	31,9	0,169
13	2019-04-22 11:29:55.245	13	'12°35''7.97" E'	'41°50''30.12" N'	70	99,6	30,3	0,178
14	2019-04-22 11:29:56.245	14	'12°35''8.09" E'	'41°50''29.92" N'	69,8	99,6	24,4	0,185
15	2019-04-22 11:29:57.245	15	'12°35''8.27" E'	'41°50''29.76" N'	72,2	99,6	22,8	0,191
16	2019-04-22 11:29:58.245	16	'12°35''8.42" E'	'41°50''29.61" N'	71	99,6	21	0,197
17	2019-04-22 11:29:59.245	17	'12°35''8.55" E'	'41°50''29.48" N'	69,3	132,2	18,3	0,202
18	2019-04-22 11:30:00.245	18	'12°35''8.74" E'	'41°50''29.34" N'	69	133,2	22,4	0,208
19	2019-04-22 11:30:01.245	19	'12°35''8.98" E'	'41°50''29.13" N'	70,4	133,2	29,7	0,216
20	2019-04-22 11:30:02.245	20	'12°35''9.27" E'	'41°50''28.91" N'	70,9	133,2	34,4	0,226
21	2019-04-22 11:30:03.245	21	'12°35''9.53" E'	'41°50''28.69" N'	71,7	132,1	32,7	0,235
22	2019-04-22 11:30:04.245	22	'12°35''9.81" E'	'41°50''28.46" N'	72,4	131,1	35	0,245
23	2019-04-22 11:30:05.245	23	'12°35''10.13" E'	'41°50''28.23" N'	71,4	131,1	36,5	0,255
24	2019-04-22 11:30:06.245	24	'12°35''10.48" E'	'41°50''27.97" N'	71,2	131,1	40,9	0,266
25	2019-04-22 11:30:07.245	25	'12°35''10.84" E'	'41°50''27.68" N'	71,4	130,1	43,8	0,278
26	2019-04-22 11:30:08.245	26	'12°35''11.22" E'	'41°50''27.40" N'	70,7	130,1	44,5	0,291
27	2019-04-22 11:30:09.245	27	'12°35''11.63" E'	'41°50''27.12" N'	71,3	130,1	46,5	0,304
28	2019-04-22 11:30:10.245	28	'12°35''12.04" E'	'41°50''26.82" N'	71,2	130,1	47,1	0,317
29	2019-04-22 11:30:11.245	29	'12°35''12.44" E'	'41°50''26.52" N'	70,7	130,1	46,8	0,33
30	2019-04-22 11:30:12.245	30	'12°35''12.83" E'	'41°50''26.24" N'	70,4	130,1	44,9	0,342
31	2019-04-22 11:30:13.245	31	'12°35''13.21" E'	'41°50''25.97" N'	69,9	130,1	43,6	0,354
32	2019-04-22 11:30:14.245	32	'12°35''13.61" E'	'41°50''25.73" N'	70,1	131,1	42,9	0,366
33	2019-04-22 11:30:15.245	33	'12°35''14.01" E'	'41°50''25.48" N'	69,7	131,1	43,4	0,378
34	2019-04-22 11:30:16.245	34	'12°35''14.40" E'	'41°50''25.22" N'	69,2	131,1	43	0,39
35	2019-04-22 11:30:17.245	35	'12°35''14.78" E'	'41°50''24.93" N'	69,3	131,1	44,6	0,403
36	2019-04-22 11:30:18.245	36	'12°35''15.19" E'	'41°50''24.64" N'	69,4	131,1	46,8	0,416
37	2019-04-22 11:30:19.245	37	'12°35''15.62" E'	'41°50''24.34" N'	68,7	130,1	49	0,429
38	2019-04-22 11:30:20.245	38	'12°35''16.05" E'	'41°50''24.04" N'	68,7	130,1	49,2	0,443
39	2019-04-22 11:30:21.245	39	'12°35''16.44" E'	'41°50''23.78" N'	68,9	130,1	43,1	0,455
40	2019-04-22 11:30:22.245	40	'12°35''16.94" E'	'41°50''23.43" N'	69,4	130,1	57,2	0,471
41	2019-04-22 11:30:23.245	41	'12°35''17.39" E'	'41°50''23.11" N'	68,5	130,1	51,7	0,485
42	2019-04-22 11:30:24.245	42	'12°35''17.85" E'	'41°50''22.78" N'	68,6	130,1	52,9	0,5
43	2019-04-22 11:30:25.245	43	'12°35''18.32" E'	'41°50''22.45" N'	68,9	130,1	53,2	0,515
44	2019-04-22 11:30:26.245	44	'12°35''18.80" E'	'41°50''22.11" N'	69,1	130,1	55,1	0,53
45	2019-04-22 11:30:27.245	45	'12°35''19.29" E'	'41°50''21.76" N'	69,3	130,1	55,5	0,545
46	2019-04-22 11:30:28.245	46	'12°35''19.77" E'	'41°50''21.41" N'	69,5	130,1	56,2	0,561
47	2019-04-22 11:30:29.245	47	'12°35''20.26" E'	'41°50''21.05" N'	69,8	131,1	57,1	0,577
48	2019-04-22 11:30:30.245	48	'12°35''20.73" E'	'41°50''20.68" N'	70	132,1	57	0,593
49	2019-04-22 11:30:31.245	49	'12°35''21.20" E'	'41°50''20.30" N'	70,3	134,2	56,9	0,608
