	Articolo	Data	Elapse (s)	Longitudine	Latitudine	Altitudine (m)	Corso	Velocità (km/h)	Distanza totale (km)	Unnamed: 9
0	1	2019-04-21 17:33:23.835	0.0	"13°26'45.98"" E"	"41°15'18.49"" N"	25,3	0,0	0,0	0.0	
1	2	2019-04-21 17:33:31.835	8.0	"13°26'42.27"" E"	"41°15'23.02"" N"	27,6	198,0	74,0	0.16399999999999998	
2	3	2019-04-21 17:33:35.835	12.0	"13°26'40.64"" E"	"41°15'24.17"" N"	37,2	197,0	46,7	0.21600000000000003	
3	4	2019-04-21 17:33:39.835	16.0	"13°26'39.17"" E"	"41°15'25.99"" N"	27,3	316,3	59,1	0.282	
4	5	2019-04-21 17:33:43.835	20.0	"13°26'37.00"" E"	"41°15'27.83"" N"	29,5	312,2	68,5	0.358	
5	6	2019-04-21 17:33:47.835	24.0	"13°26'34.32"" E"	"41°15'29.45"" N"	34,3	295,3	71,8	0.43799999999999994	
6	7	2019-04-21 17:33:51.835	28.0	"13°26'31.04"" E"	"41°15'30.49"" N"	31,2	278,4	74,4	0.52	
7	8	2019-04-21 17:33:55.835	32.0	"13°26'27.50"" E"	"41°15'30.75"" N"	23,2	265,8	74,3	0.603	
8	9	2019-04-21 17:33:59.835	36.0	"13°26'24.13"" E"	"41°15'30.89"" N"	23,2	275,3	70,7	0.6809999999999999	
9	10	2019-04-21 17:34:03.835	40.0	"13°26'21.42"" E"	"41°15'31.54"" N"	24,0	303,8	59,3	0.747	
10	11	2019-04-21 17:34:07.835	44.0	"13°26'19.48"" E"	"41°15'33.13"" N"	29,0	332,7	60,0	0.8140000000000001	
11	12	2019-04-21 17:34:11.835	48.0	"13°26'18.76"" E"	"41°15'35.53"" N"	34,1	0,8	68,2	0.89	
12	13	2019-04-21 17:34:15.835	52.0	"13°26'19.00"" E"	"41°15'38.38"" N"	33,9	17,2	79,4	0.978	
13	14	2019-04-21 17:34:19.835	56.0	"13°26'20.35"" E"	"41°15'40.41"" N"	29,3	16,1	63,1	1.048	
14	15	2019-04-21 17:34:23.835	60.0	"13°26'20.94"" E"	"41°15'42.85"" N"	25,1	350,5	68,9	1.125	
15	16	2019-04-21 17:34:27.835	64.0	"13°26'20.08"" E"	"41°15'45.54"" N"	23,8	327,9	76,9	1.21	
16	17	2019-04-21 17:34:31.835	68.0	"13°26'17.89"" E"	"41°15'47.60"" N"	23,9	304,1	73,5	1.2919999999999998	
17	18	2019-04-21 17:34:35.835	72.0	"13°26'14.58"" E"	"41°15'48.76"" N"	28,3	280,4	76,2	1.376	
18	19	2019-04-21 17:34:39.835	76.0	"13°26'11.04"" E"	"41°15'49.23"" N"	32,8	276,2	75,1	1.46	
19	20	2019-04-21 17:34:43.835	80.0	"13°26'7.62"" E"	"41°15'49.61"" N"	32,2	276,2	72,4	1.54	
20	21	2019-04-21 17:34:47.835	84.0	"13°26'4.40"" E"	"41°15'49.93"" N"	30,0	279,2	67,8	1.6159999999999999	
21	22	2019-04-21 17:34:51.835	88.0	"13°26'1.11"" E"	"41°15'50.51"" N"	28,4	281,3	70,7	1.694	
22	23	2019-04-21 17:34:55.835	92.0	"13°25'57.97"" E"	"41°15'51.10"" N"	27,8	281,3	67,5	1.7690000000000001	
23	24	2019-04-21 17:34:59.835	96.0	"13°25'55.03"" E"	"41°15'51.69"" N"	26,1	281,3	63,6	1.84	
24	25	2019-04-21 17:35:03.835	100.0	"13°25'52.18"" E"	"41°15'52.28"" N"	24,3	282,3	61,8	1.909	
25	26	2019-04-21 17:35:07.835	104.0	"13°25'49.32"" E"	"41°15'52.91"" N"	22,8	282,3	62,2	1.9780000000000002	
26	27	2019-04-21 17:35:11.835	108.0	"13°25'46.41"" E"	"41°15'53.60"" N"	22,0	285,3	63,9	2.049	
27	28	2019-04-21 17:35:15.835	112.0	"13°25'43.44"" E"	"41°15'54.48"" N"	20,4	289,3	66,5	2.123	
28	29	2019-04-21 17:35:19.835	116.0	"13°25'40.92"" E"	"41°15'55.37"" N"	19,5	289,3	58,2	2.187	
29	30	2019-04-21 17:35:23.835	120.0	"13°25'38.73"" E"	"41°15'56.09"" N"	19,6	290,4	50,1	2.2430000000000003	
30	31	2019-04-21 17:35:27.835	124.0	"13°25'37.41"" E"	"41°15'56.52"" N"	20,2	290,4	30,1	2.276	
31	32	2019-04-21 17:35:31.835	128.0	"13°25'36.34"" E"	"41°15'57.02"" N"	21,0	293,4	26,2	2.305	
32	33	2019-04-21 17:35:35.835	132.0	"13°25'34.83"" E"	"41°15'57.52"" N"	20,7	298,7	34,6	2.344	
33	34	2019-04-21 17:35:39.835	136.0	"13°25'32.79"" E"	"41°15'58.60"" N"	20,0	301,8	52,0	2.4019999999999997	
34	35	2019-04-21 17:35:43.835	140.0	"13°25'30.83"" E"	"41°15'59.78"" N"	21,2	303,8	52,5	2.46	
35	36	2019-04-21 17:35:47.835	144.0	"13°25'29.12"" E"	"41°16'0.94"" N"	22,9	310,0	48,0	2.513	
36	37	2019-04-21 17:35:51.835	148.0	"13°25'27.51"" E"	"41°16'2.14"" N"	23,1	310,0	47,5	2.5660000000000003	
37	38	2019-04-21 17:35:55.835	152.0	"13°25'25.96"" E"	"41°16'3.31"" N"	23,8	311,0	45,7	2.617	
38	39	2019-04-21 17:35:59.835	156.0	"13°25'24.48"" E"	"41°16'4.41"" N"	23,7	308,9	43,6	2.665	
39	40	2019-04-21 17:36:03.835	160.0	"13°25'22.36"" E"	"41°16'5.68"" N"	22,3	302,6	56,8	2.7289999999999996	
40	41	2019-04-21 17:36:07.835	164.0	"13°25'19.82"" E"	"41°16'6.93"" N"	22,0	300,6	63,3	2.799	
41	42	2019-04-21 17:36:11.835	168.0	"13°25'17.27"" E"	"41°16'8.39"" N"	22,4	303,7	66,9	2.873	
42	43	2019-04-21 17:36:15.835	172.0	"13°25'15.09"" E"	"41°16'9.94"" N"	21,9	313,1	62,7	2.943	
43	44	2019-04-21 17:36:19.835	176.0	"13°25'13.28"" E"	"41°16'11.62"" N"	21,9	319,2	60,2	3.01	
44	45	2019-04-21 17:36:23.835	180.0	"13°25'11.72"" E"	"41°16'13.39"" N"	21,8	322,3	59,1	3.075	
45	46	2019-04-21 17:36:27.835	184.0	"13°25'10.12"" E"	"41°16'15.29"" N"	21,8	322,3	62,4	3.145	
46	47	2019-04-21 17:36:31.835	188.0	"13°25'8.54"" E"	"41°16'17.16"" N"	22,2	322,3	61,6	3.213	
47	48	2019-04-21 17:36:35.835	192.0	"13°25'7.07"" E"	"41°16'18.93"" N"	22,3	322,3	57,9	3.278	
48	49	2019-04-21 17:36:39.835	196.0	"13°25'5.61"" E"	"41°16'20.76"" N"	21,5	324,3	59,4	3.344	
49	50	2019-04-21 17:36:43.835	200.0	"13°25'4.17"" E"	"41°16'22.60"" N"	20,6	325,3	59,4	3.41	
50	51	2019-04-21 17:36:47.835	204.0	"13°25'2.72"" E"	"41°16'24.49"" N"	19,9	325,3	60,6	3.477	
51	52	2019-04-21 17:36:51.835	208.0	"13°25'1.38"" E"	"41°16'26.24"" N"	20,9	325,3	56,1	3.5389999999999997	
52	53	2019-04-21 17:36:55.835	212.0	"13°24'59.96"" E"	"41°16'28.20"" N"	21,8	325,3	62,0	3.608	
53	54	2019-04-21 17:36:59.835	216.0	"13°24'58.62"" E"	"41°16'30.00"" N"	21,4	326,3	57,5	3.6719999999999997	
54	55	2019-04-21 17:37:03.835	220.0	"13°24'57.39"" E"	"41°16'31.64"" N"	21,3	327,3	52,3	3.73	
55	56	2019-04-21 17:37:07.835	224.0	"13°24'55.87"" E"	"41°16'33.52"" N"	21,1	325,3	61,2	3.798	
56	57	2019-04-21 17:37:11.835	228.0	"13°24'54.25"" E"	"41°16'35.25"" N"	21,5	319,2	58,7	3.863	
57	58	2019-04-21 17:37:15.835	232.0	"13°24'52.30"" E"	"41°16'36.85"" N"	21,5	313,0	60,4	3.93	
58	59	2019-04-21 17:37:19.835	236.0	"13°24'50.20"" E"	"41°16'38.40"" N"	22,7	311,0	61,6	3.9989999999999997	
59	60	2019-04-21 17:37:23.835	240.0	"13°24'47.95"" E"	"41°16'40.04"" N"	25,4	311,0	65,4	4.071000000000001	
60	61	2019-04-21 17:37:27.835	244.0	"13°24'45.69"" E"	"41°16'41.68"" N"	27,2	311,0	65,6	4.144	
61	62	2019-04-21 17:37:31.835	248.0	"13°24'43.50"" E"	"41°16'43.26"" N"	29,1	310,0	63,4	4.215	
62	63	2019-04-21 17:37:35.835	252.0	"13°24'41.20"" E"	"41°16'44.93"" N"	30,7	310,0	66,9	4.289	
63	64	2019-04-21 17:37:39.835	256.0	"13°24'38.96"" E"	"41°16'46.54"" N"	30,3	310,0	64,7	4.361000000000001	
64	65	2019-04-21 17:37:43.835	260.0	"13°24'36.66"" E"	"41°16'48.15"" N"	28,4	309,0	65,7	4.434	
65	66	2019-04-21 17:37:47.835	264.0	"13°24'34.15"" E"	"41°16'49.72"" N"	26,2	305,9	68,1	4.51	
66	67	2019-04-21 17:37:51.835	268.0	"13°24'31.57"" E"	"41°16'51.18"" N"	24,6	300,9	67,4	4.585	
67	68	2019-04-21 17:37:55.835	272.0	"13°24'28.91"" E"	"41°16'52.48"" N"	23,2	296,8	66,3	4.658	
68	69	2019-04-21 17:37:59.835	276.0	"13°24'26.41"" E"	"41°16'53.43"" N"	22,5	294,7	58,6	4.723	
69	70	2019-04-21 17:38:03.835	280.0	"13°24'23.61"" E"	"41°16'54.39"" N"	21,5	293,7	64,2	4.795	
70	71	2019-04-21 17:38:07.835	284.0	"13°24'21.11"" E"	"41°16'55.19"" N"	21,3	292,7	56,9	4.8580000000000005	
71	72	2019-04-21 17:38:11.835	288.0	"13°24'18.23"" E"	"41°16'55.93"" N"	21,3	285,6	63,6	4.928999999999999	
72	73	2019-04-21 17:38:15.835	292.0	"13°24'15.29"" E"	"41°16'56.44"" N"	20,4	278,4	63,0	4.999	
73	74	2019-04-21 17:38:19.835	296.0	"13°24'12.14"" E"	"41°16'56.74"" N"	20,3	272,1	66,3	5.072	
74	75	2019-04-21 17:38:23.835	300.0	"13°24'8.77"" E"	"41°16'56.85"" N"	20,1	270,1	70,4	5.151	
75	76	2019-04-21 17:38:27.835	304.0	"13°24'5.43"" E"	"41°16'56.97"" N"	20,6	269,1	69,8	5.228	
76	77	2019-04-21 17:38:31.835	308.0	"13°24'2.00"" E"	"41°16'57.15"" N"	20,7	270,1	72,0	5.308	
77	78	2019-04-21 17:38:35.835	312.0	"13°23'58.57"" E"	"41°16'57.50"" N"	19,3	275,1	72,3	5.388	
78	79	2019-04-21 17:38:39.835	316.0	"13°23'55.11"" E"	"41°16'58.21"" N"	18,8	279,3	74,9	5.472	
79	80	2019-04-21 17:38:43.835	320.0	"13°23'51.54"" E"	"41°16'58.89"" N"	19,5	282,4	76,9	5.557	
80	81	2019-04-21 17:38:47.835	324.0	"13°23'48.09"" E"	"41°16'59.76"" N"	19,8	284,5	76,1	5.642	
81	82	2019-04-21 17:38:51.835	328.0	"13°23'44.70"" E"	"41°17'0.57"" N"	20,1	284,5	74,3	5.724	
82	83	2019-04-21 17:38:55.835	332.0	"13°23'41.28"" E"	"41°17'1.44"" N"	18,0	284,5	75,5	5.808	
83	84	2019-04-21 17:38:59.835	336.0	"13°23'37.87"" E"	"41°17'2.20"" N"	17,0	284,5	74,2	5.89	
84	85	2019-04-21 17:39:03.835	340.0	"13°23'34.53"" E"	"41°17'3.06"" N"	16,4	284,5	73,9	5.973	
85	86	2019-04-21 17:39:07.835	344.0	"13°23'31.07"" E"	"41°17'3.97"" N"	15,7	285,6	76,5	6.057	
86	87	2019-04-21 17:39:11.835	348.0	"13°23'27.47"" E"	"41°17'4.82"" N"	13,5	284,6	78,9	6.145	
87	88	2019-04-21 17:39:15.835	352.0	"13°23'23.99"" E"	"41°17'5.62"" N"	12,9	284,6	76,0	6.23	
88	89	2019-04-21 17:39:19.835	356.0	"13°23'20.60"" E"	"41°17'6.56"" N"	12,6	284,6	75,4	6.313	
89	90	2019-04-21 17:39:23.835	360.0	"13°23'17.14"" E"	"41°17'7.41"" N"	13,2	282,5	76,1	6.398	
90	91	2019-04-21 17:39:27.835	364.0	"13°23'13.57"" E"	"41°17'8.18"" N"	14,4	281,5	77,5	6.484	
91	92	2019-04-21 17:39:31.835	368.0	"13°23'10.01"" E"	"41°17'8.93"" N"	13,1	281,5	77,4	6.57	
92	93	2019-04-21 17:39:35.835	372.0	"13°23'6.35"" E"	"41°17'9.73"" N"	11,8	281,5	79,5	6.6579999999999995	
93	94	2019-04-21 17:39:39.835	376.0	"13°23'2.54"" E"	"41°17'10.30"" N"	12,1	281,5	81,2	6.749	
94	95	2019-04-21 17:39:43.835	380.0	"13°22'58.81"" E"	"41°17'11.03"" N"	12,1	281,5	80,4	6.837999999999999	
95	96	2019-04-21 17:39:47.835	384.0	"13°22'55.21"" E"	"41°17'11.84"" N"	11,0	281,5	78,6	6.925	
96	97	2019-04-21 17:39:51.835	388.0	"13°22'52.02"" E"	"41°17'12.49"" N"	10,0	280,5	69,0	7.002000000000001	
97	98	2019-04-21 17:39:55.835	392.0	"13°22'48.16"" E"	"41°17'13.29"" N"	11,6	280,5	83,6	7.095	
98	99	2019-04-21 17:39:59.835	396.0	"13°22'44.77"" E"	"41°17'13.94"" N"	10,7	282,6	73,1	7.176	
99	100	2019-04-21 17:40:03.835	400.0	"13°22'41.14"" E"	"41°17'14.46"" N"	11,5	281,6	77,1	7.2620000000000005	
100	101	2019-04-21 17:40:07.835	404.0	"13°22'37.73"" E"	"41°17'15.23"" N"	12,1	281,6	74,3	7.343999999999999	
101	102	2019-04-21 17:40:11.835	408.0	"13°22'34.51"" E"	"41°17'16.05"" N"	10,0	281,6	71,0	7.422999999999999	
102	103	2019-04-21 17:40:15.835	412.0	"13°22'31.36"" E"	"41°17'16.68"" N"	7,7	281,6	68,2	7.499	
103	104	2019-04-21 17:40:19.835	416.0	"13°22'28.41"" E"	"41°17'17.36"" N"	7,0	282,6	64,5	7.571000000000001	
104	105	2019-04-21 17:40:23.835	420.0	"13°22'25.48"" E"	"41°17'18.00"" N"	6,7	282,6	63,7	7.642	
105	106	2019-04-21 17:40:27.835	424.0	"13°22'22.41"" E"	"41°17'18.62"" N"	6,7	282,6	66,5	7.715	
106	107	2019-04-21 17:40:31.835	428.0	"13°22'19.34"" E"	"41°17'19.21"" N"	6,6	282,6	66,2	7.789	
107	108	2019-04-21 17:40:35.835	432.0	"13°22'16.28"" E"	"41°17'19.85"" N"	7,7	283,6	66,2	7.862	
108	109	2019-04-21 17:40:39.835	436.0	"13°22'13.49"" E"	"41°17'20.41"" N"	8,5	282,5	60,5	7.93	
109	110	2019-04-21 17:40:43.835	440.0	"13°22'10.81"" E"	"41°17'20.92"" N"	6,4	281,5	57,7	7.994	
110	111	2019-04-21 17:40:47.835	444.0	"13°22'8.26"" E"	"41°17'21.46"" N"	6,0	282,6	55,3	8.055	
111	112	2019-04-21 17:40:51.835	448.0	"13°22'5.43"" E"	"41°17'22.06"" N"	7,6	281,6	61,3	8.123	
112	113	2019-04-21 17:40:55.835	452.0	"13°22'2.68"" E"	"41°17'22.65"" N"	10,3	281,4	59,7	8.19	
113	114	2019-04-21 17:40:59.835	456.0	"13°21'59.80"" E"	"41°17'23.25"" N"	9,6	281,4	62,5	8.259	
114	115	2019-04-21 17:41:03.835	460.0	"13°21'56.92"" E"	"41°17'23.85"" N"	9,4	281,4	62,4	8.329	
115	116	2019-04-21 17:41:07.835	464.0	"13°21'54.14"" E"	"41°17'24.42"" N"	8,0	281,4	60,2	8.395	
